subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Whiteoak Creek,030202011003,Swift Creek,0302020110,Upper Neuse,03020201,Neuse,030202,030202011004,14.477919650157721,9265.868574898877341,,6540,8810,44576.585095665002882,56925584.299321033060551,37497639.781994596123695,0.0000000
Mahlers Creek-Swift Creek,030202011004,Swift Creek,0302020110,Upper Neuse,03020201,Neuse,030202,030202011006,23.222125244574315,14862.160154599489033,,14003,17007,55382.106507728240103,91265554.047923222184181,60145028.290242239832878,0.0479328
Little Creek,030202011005,Swift Creek,0302020110,Upper Neuse,03020201,Neuse,030202,030202011007,18.011192554700777,11527.163233513072555,,9203,14772,54598.061974705364264,70760917.053420230746269,46648774.573136724531651,0.0000000
Piney Grove Cemetery-Swift Creek,030202011006,Swift Creek,0302020110,Upper Neuse,03020201,Neuse,030202,030202011007,16.966345601873417,10858.461183790313953,,7439,11130,47073.516844756508362,66584152.977552130818367,43942633.331833548843861,0.0000000
Reedy Branch-Swift Creek,030202011007,Swift Creek,0302020110,Upper Neuse,03020201,Neuse,030202,030202011105,16.651807867349017,10657.157033720812251,,4746,5720,51151.336282192212821,65314362.746048204600811,43127984.421791680157185,0.0000000
Walnut Creek,030202011101,Walnut Creek-Neuse River,0302020111,Upper Neuse,03020201,Neuse,030202,030202011103,45.972962473771346,29422.695979396645271,,114700,127554,84455.606676522074849,181175154.799964427947998,119069426.187689602375031,2.9827380
Marks Creek,030202011102,Walnut Creek-Neuse River,0302020111,Upper Neuse,03020201,Neuse,030202,030202011103,28.602511986317005,18305.607668868087785,,12132,15673,60902.691904410625284,112725925.248658180236816,74080166.028325259685516,4.5673385
Poplar Creek-Neuse River,030202011103,Walnut Creek-Neuse River,0302020111,Upper Neuse,03020201,Neuse,030202,030202011104,50.260104517578682,32166.466887077385763,,29993,41253,80005.540747385894065,197873440.094597667455673,130173073.097177267074585,3.8263063
Mill Creek-Neuse River,030202011104,Walnut Creek-Neuse River,0302020111,Upper Neuse,03020201,Neuse,030202,030202011105,31.332460593171966,20052.774777028604149,,12118,20894,73761.340187879890436,123063041.475658714771271,81150700.578075632452965,2.7249255
Buffalo Creek-Neuse River,030202011105,Walnut Creek-Neuse River,0302020111,Upper Neuse,03020201,Neuse,030202,030202011702,35.560921683579387,22758.989874538274307,,14392,18541,91922.258136960837874,139410373.654043585062027,92102363.162105649709702,0.8908113
Little Black Creek-Black Creek,030202011201,Black Creek,0302020112,Upper Neuse,03020201,Neuse,030202,030202011202,30.617855649015876,19595.427612828036217,,13992,16890,53040.480715153484198,120077473.014453202486038,79299882.104863315820694,0.0880383
Camp Branch-Black Creek,030202011202,Black Creek,0302020112,Upper Neuse,03020201,Neuse,030202,030202011203,33.415466226006409,21385.898381869697914,,7436,10026,65027.874907142380835,130828457.045017585158348,86545660.269387871026993,0.0000000
Holts Lake-Black Creek,030202011203,Black Creek,0302020112,Upper Neuse,03020201,Neuse,030202,030202011702,37.559233799235741,24037.909628392430022,,6664,7070,73110.378150225806166,147021587.079522848129272,97277968.839885160326958,0.0659697
Upper Hannah Creek,030202011301,Mill Creek,0302020113,Upper Neuse,03020201,Neuse,030202,030202011302,29.037129799508069,18583.763069274285954,,5399,5584,48676.644827057280054,113477180.280246838927269,75205820.798924311995506,0.0000000
Lower Hannah Creek,030202011302,Mill Creek,0302020113,Upper Neuse,03020201,Neuse,030202,030202011306,34.008180611683642,21765.235588653918967,,3744,3762,64879.790968471985252,132862945.796993643045425,88080783.811363354325294,0.0000000
Upper Mill Creek,030202011303,Mill Creek,0302020113,Upper Neuse,03020201,Neuse,030202,030202011305,29.830490150090061,19091.513693580891413,,1713,2447,53333.894732669097721,116226326.295338705182076,77260614.911781236529350,0.0000000
Stone Creek,030202011304,Mill Creek,0302020113,Upper Neuse,03020201,Neuse,030202,030202011305,29.536951811531228,18903.649156927607692,,2451,2382,55597.265763580871862,115242817.580514281988144,76500353.817920118570328,0.0000000
Middle Mill Creek,030202011305,Mill Creek,0302020113,Upper Neuse,03020201,Neuse,030202,030202011306,30.906734863138276,19780.310309842388961,,1576,1511,59292.044317517560557,120476370.459190651774406,80048075.468687504529953,0.3480133
Lower Mill Creek,030202011306,Mill Creek,0302020113,Upper Neuse,03020201,Neuse,030202,030202011705,36.237203131835493,23191.810001366033248,,1877,1290,74129.949783754505916,141433947.034487307071686,93853925.891328260302544,0.0000000
Brooks Swamp,030202011401,Falling Creek,0302020114,Upper Neuse,03020201,Neuse,030202,030202011404,16.133981787895330,10325.748342913446322,,2510,2337,39299.853082517001894,62787996.756833977997303,41786820.873894073069096,0.0000000
Thunder Swamp-Thoroughfare Swamp,030202011402,Falling Creek,0302020114,Upper Neuse,03020201,Neuse,030202,030202011404,33.376030896501568,21360.659770989877870,,4310,3984,71881.749556099865003,129840015.966930717229843,86443523.252156674861908,0.0000000
Upper Falling Creek,030202011403,Falling Creek,0302020114,Upper Neuse,03020201,Neuse,030202,030202011404,41.761721625843080,26727.501837072199123,,2341,2076,66417.150494667585008,162682972.635281771421432,108162362.462849259376526,0.0000000
Lower Falling Creek,030202011404,Falling Creek,0302020114,Upper Neuse,03020201,Neuse,030202,030202011705,26.360658474370180,16870.821421408254537,,3980,3573,70499.004298652856960,102745382.820184975862503,68273792.045736759901047,0.0802855
Headwaters Little River,030202011501,Upper Little River,0302020115,Upper Neuse,03020201,Neuse,030202,030202011503,43.086983303384052,27575.669310588389635,,11416,11202,74401.145813078081119,170567741.784549951553345,111594774.597286611795425,0.7083054
Upper Buffalo Creek,030202011502,Upper Little River,0302020115,Upper Neuse,03020201,Neuse,030202,030202011504,25.074367649540878,16047.595293624301121,,7831,9706,73737.168589491193416,98947752.963042810559273,64942314.071098983287811,0.8928164
Cattail Creek-Little River,030202011503,Upper Little River,0302020115,Upper Neuse,03020201,Neuse,030202,030202011505,61.509419478015118,39366.028460822701163,,13892,17295,100144.691313863484538,242527905.954694777727127,159308665.879102587699890,0.2014818
Lower Buffalo Creek,030202011504,Upper Little River,0302020115,Upper Neuse,03020201,Neuse,030202,030202011505,32.578281903382432,20850.100415459863143,,7547,9501,84518.296556604473153,128058866.299141794443130,84377362.334862962365150,5.5760260
Long Branch-Little River,030202011505,Upper Little River,0302020115,Upper Neuse,03020201,Neuse,030202,030202011602,27.443778910915441,17564.018500707294152,,3461,3404,66231.301529372431105,107866024.916244626045227,71079061.293147876858711,0.4037395
Little Buffalo Creek,030202011601,Lower Little River,0302020116,Upper Neuse,03020201,Neuse,030202,030202011602,24.108279471668823,15429.298859866396015,,2567,2786,65440.047096243622946,94718341.593933582305908,62440157.281392894685268,0.0307320
Little Creek-Little River,030202011602,Lower Little River,0302020116,Upper Neuse,03020201,Neuse,030202,030202011603,47.908587962447100,30661.496291988416488,,7418,8003,77775.758902475747163,187843119.760643899440765,124082673.138018980622292,0.5979890
Dennis Branch-Little River,030202011603,Lower Little River,0302020116,Upper Neuse,03020201,Neuse,030202,030202011604,19.891876412381350,12730.800902272492749,,3098,3864,48591.905005426793650,77842189.237178236246109,51519723.059828877449036,0.0000000
Buck Swamp-Little River,030202011604,Lower Little River,0302020116,Upper Neuse,03020201,Neuse,030202,030202011705,33.712089581887547,21575.737329609000881,,13615,14073,71408.691800522748963,131851740.249428525567055,87313911.112260669469833,0.0000000
Bawdy Creek,030202011701,Moccasin Creek-Neuse River,0302020117,Upper Neuse,03020201,Neuse,030202,030202011702,25.542012278932294,16346.887856395980634,,3859,3735,68723.744601220372715,99932495.751213029026985,66153508.234388284385204,0.0000000
Polecat Branch-Neuse River,030202011702,Moccasin Creek-Neuse River,0302020117,Upper Neuse,03020201,Neuse,030202,030202011705,49.918469017217198,31947.820166874404094,,4884,4442,95798.980203828192316,195154575.089779317378998,129288241.463101297616959,3.5086720
Moccasin Creek,030202011703,Moccasin Creek-Neuse River,0302020117,Upper Neuse,03020201,Neuse,030202,030202011705,34.063654798026967,21800.739067909042205,,5766,6250,87441.799640499491943,133275140.185114815831184,88224460.889633655548096,0.0000000
Charles Branch-Beaverdam Creek,030202011704,Moccasin Creek-Neuse River,0302020117,Upper Neuse,03020201,Neuse,030202,030202011705,15.730692428665442,10067.643153039804019,,3062,2942,50193.764442587649683,61492370.861343875527382,40742306.754523500800133,0.0000000
Quaker Neck Lake-Neuse River,030202011705,Moccasin Creek-Neuse River,0302020117,Upper Neuse,03020201,Neuse,030202,030202020103,48.960938773066687,31335.000810697576526,,16803,15175,110795.652307489377563,191032374.210237026214600,126808249.248271822929382,0.1766549
Headwaters Stoney Creek,030202020101,Walnut Creek-Neuse River,0302020201,Middle Neuse,03020202,Neuse,030202,030202020102,15.759020652142024,10085.773216062463689,,6769,6814,39725.996675494010560,61607421.220519579946995,40815675.455641046166420,0.0000000
Outlet Stoney Creek,030202020102,Walnut Creek-Neuse River,0302020201,Middle Neuse,03020202,Neuse,030202,030202020103,13.478832236798050,8626.452630431638681,,16900,15797,36720.424070519133238,52618929.409049779176712,34910015.360110163688660,0.0000000
Seymour Johnson Air Force Base-Neuse River,030202020103,Walnut Creek-Neuse River,0302020201,Middle Neuse,03020202,Neuse,030202,030202020105,15.704372008801439,10050.798084329026096,,4154,4276,45378.077240483718924,61237902.573774226009846,40674136.719882860779762,2.3012149
Sleepy Creek,030202020104,Walnut Creek-Neuse River,0302020201,Middle Neuse,03020202,Neuse,030202,030202020105,12.319236434743470,7884.311317212986069,,1355,1320,31170.981460099657852,47954045.538317814469337,31906676.055095043033361,0.0000000
Pine Level Branch-Neuse River,030202020105,Walnut Creek-Neuse River,0302020201,Middle Neuse,03020202,Neuse,030202,030202020107,21.496016611698771,13757.450629702454535,,3669,3603,54405.517797357817471,83722036.129842340946198,55674426.644066616892815,0.0000000
Lake Wackena-Walnut Creek,030202020106,Walnut Creek-Neuse River,0302020201,Middle Neuse,03020202,Neuse,030202,030202020107,13.795166966157980,8828.906857195730481,,2462,2601,33543.439612507390848,53809883.892374597489834,35729319.687908954918385,0.0000000
Walnut Creek-Neuse River,030202020107,Walnut Creek-Neuse River,0302020201,Middle Neuse,03020202,Neuse,030202,030202020204,23.136653751436228,14807.458398998209304,,3161,3267,47525.328138232835045,90065185.690442815423012,59923659.379751242697239,0.0000000
West Bear Creek,030202020201,Bear Creek-Neuse River,0302020202,Middle Neuse,03020202,Neuse,030202,030202020203,23.596184498889571,15101.558077330193555,,7799,7285,46720.222654576376954,92165068.444974258542061,61113837.545314200222492,0.0000000
Headwaters Bear Creek,030202020202,Bear Creek-Neuse River,0302020202,Middle Neuse,03020202,Neuse,030202,030202020203,23.766193502326384,15210.363839515639484,,3538,3259,45866.209283081065223,92819884.249603450298309,61554157.686117969453335,0.0000000
Outlet Bear Creek,030202020203,Bear Creek-Neuse River,0302020202,Middle Neuse,03020202,Neuse,030202,030202020204,16.139332203463677,10329.172608876746381,,2130,2065,44065.612264942108595,62885487.675860725343227,41800678.183806516230106,0.0496008
Hardy Mill Run-Neuse River,030202020204,Bear Creek-Neuse River,0302020202,Middle Neuse,03020202,Neuse,030202,030202020206,19.530936402367264,12499.799295893444651,,1658,1664,49372.117960818337451,75937715.116695791482925,50584893.108678393065929,0.0000000
Falling Creek,030202020205,Bear Creek-Neuse River,0302020202,Middle Neuse,03020202,Neuse,030202,030202020206,52.117421740395713,33355.149909526080592,,7108,6766,78409.173237587485346,203206263.808361023664474,134983502.950219482183456,0.0000000
City of Kinston-Neuse River,030202020206,Bear Creek-Neuse River,0302020202,Middle Neuse,03020202,Neuse,030202,030202020303,52.170002678436191,33388.801709867620957,,10087,9388,83386.356366427105968,202990468.079690247774124,135119686.213587701320648,0.0000000
Headwaters Southwest Creek,030202020301,Mosley Creek-Neuse River,0302020203,Middle Neuse,03020202,Neuse,030202,030202020302,37.350479281603953,23904.306737125414656,,3170,2936,59063.937685788703675,145044246.647652864456177,96737296.014059856534004,0.8095416
Outlet Southwest Creek,030202020302,Mosley Creek-Neuse River,0302020203,Middle Neuse,03020202,Neuse,030202,030202020303,31.022391795608158,19854.330746613512019,,2022,1921,55428.299722181312973,120641869.504455879330635,80347622.431315138936043,1.4597386
Adkin Branch-Neuse River,030202020303,Mosley Creek-Neuse River,0302020203,Middle Neuse,03020202,Neuse,030202,030202020307,17.399777529278865,11135.857617293813746,,12980,11589,50105.266804733000754,67738909.910061404109001,45065217.743402481079102,1.6359872
Briery Run,030202020304,Mosley Creek-Neuse River,0302020203,Middle Neuse,03020202,Neuse,030202,030202020305,13.759538777355594,8806.104816365159422,,4433,4253,41078.141779711317213,53637613.711865007877350,35637042.172049343585968,0.0000000
Stonyton Creek,030202020305,Mosley Creek-Neuse River,0302020203,Middle Neuse,03020202,Neuse,030202,030202020307,22.202425457488673,14209.552290949341113,,4024,3587,64818.485056499514030,86576140.117240428924561,57504016.639359951019287,0.0000000
Mosley Creek,030202020306,Mosley Creek-Neuse River,0302020203,Middle Neuse,03020202,Neuse,030202,030202020307,49.792752736814712,31867.361747427250521,,1971,1655,68448.027764344544266,193828836.985844343900681,128962635.024512991309166,0.5289592
Beaverdam Branch-Neuse River,030202020307,Mosley Creek-Neuse River,0302020203,Middle Neuse,03020202,Neuse,030202,030202020603,22.169423457785921,14188.431011142318312,,2182,2022,66467.034817813459085,86425329.162269696593285,57418541.625470645725727,0.4885672
Headwaters Swift Creek,030202020401,Clayroot Swamp-Swift Creek,0302020204,Middle Neuse,03020202,Neuse,030202,030202020402,40.530554461554537,25939.554852029752510,,17914,19984,76934.223628725798335,158688610.524261713027954,104973654.809438243508339,0.0000000
Fork Swamp-Swift Creek,030202020402,Clayroot Swamp-Swift Creek,0302020204,Middle Neuse,03020202,Neuse,030202,030202020405,38.046789440254265,24349.945238603802864,,22879,25985,82038.956541467050556,148949607.897109180688858,98540733.024471357464790,0.0000000
Creeping Swamp,030202020403,Clayroot Swamp-Swift Creek,0302020204,Middle Neuse,03020202,Neuse,030202,030202020404,31.587516204933770,20216.010368534982263,,2516,2179,55700.705855540829361,123469935.963073104619980,81811293.063058674335480,0.0000000
Clayroot Swamp,030202020404,Clayroot Swamp-Swift Creek,0302020204,Middle Neuse,03020202,Neuse,030202,030202020405,49.333508302070449,31573.445309229049599,,4333,4494,95145.627868941999623,192973276.978536993265152,127773203.392034843564034,0.0000000
Town of Honolulu-Swift Creek,030202020405,Clayroot Swamp-Swift Creek,0302020204,Middle Neuse,03020202,Neuse,030202,030202020503,17.404943238618408,11139.163671270693158,,1272,1286,42316.102570412491332,67949776.060460954904556,45078596.354404561221600,0.0000000
Palmetto Swamp,030202020501,Swift Creek,0302020205,Middle Neuse,03020202,Neuse,030202,030202020503,23.956486320901060,15332.151243387632348,,1470,1175,47828.931914296175819,93524196.106658846139908,62047018.845967538654804,0.0000000
Mauls Swamp,030202020502,Swift Creek,0302020205,Middle Neuse,03020202,Neuse,030202,030202020503,16.791307584186914,10746.436852485485360,,861,738,38548.980794623748807,65481712.933607898652554,43489286.970934063196182,0.0000000
Town of Vanceboro-Swift Creek,030202020503,Swift Creek,0302020205,Middle Neuse,03020202,Neuse,030202,030202020506,23.516314160443073,15050.441060731067410,,1220,1191,47850.304635660904751,91698834.129494771361351,60906972.651324011385441,0.0000000
Headwaters Little Swift Creek,030202020504,Swift Creek,0302020205,Middle Neuse,03020202,Neuse,030202,030202020505,39.829232051774959,25490.708509829055401,,2474,2274,66118.563679964441690,155074544.434462726116180,103157247.469386816024780,0.0000000
